id;first_name;last_name;contact_num;email;date_of_birth;commitment_duration;volunteer_experience;relevant_skills;motivation;application_date;application_status;applied_monday;applied_tuesday;applied_wednesday;applied_thursday;applied_friday;applied_saturday;applied_sunday;applied_morning;applied_afternoon;applied_evening
1;Katelynn;Crona;payment;Arden_Anderson@hotmail.com;2024-03-21;Directives;utilize Handcrafted;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;PENDING;true;false;true;true;false;false;false;true;true;false
2;Cordia;Mueller;web-readiness generation Grocery;Vivian86@yahoo.com;2024-03-21;ROI red Consultant;Toys Denar dynamic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;REJECTED;false;false;false;false;true;true;true;true;true;false
3;Adeline;Kub;white;Anabelle.Shields38@yahoo.com;2024-03-20;haptic;dot-com;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;REJECTED;false;true;true;false;true;false;true;false;true;true
4;Darrion;Predovic;cross-platform magenta;Cristal21@gmail.com;2024-03-20;Mexico Table Estate;Credit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-20;ACCEPTED;false;true;true;false;true;false;false;true;false;false
5;Dorris;Hayes;Automotive Points;Devan.Borer@hotmail.com;2024-03-21;Singapore transmitting;copy generate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;REJECTED;false;true;true;true;false;true;false;true;true;false
6;Mathew;Runte;regional;Marisa.Hodkiewicz@gmail.com;2024-03-21;International Bedfordshire background;payment sensor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;ACCEPTED;false;false;true;true;true;true;false;true;true;false
7;Eldon;Pouros;York Sports Mexico;Ola.Koelpin5@hotmail.com;2024-03-21;Bike Fiji;Pennsylvania;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-21;REJECTED;true;false;true;false;false;true;true;false;false;false
8;Carlie;Carroll;Bedfordshire Designer Way;Alexandre16@gmail.com;2024-03-21;Horizontal Plastic Steel;Gorgeous quantify Engineer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-20;PENDING;false;false;false;false;true;true;true;true;true;true
9;Sidney;Sawayn;Synergized;Mellie_Rempel19@gmail.com;2024-03-20;Accountability;Applications ADP Peso;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-20;REJECTED;false;false;true;true;true;true;false;true;true;false
10;Amy;Greenholt;Re-engineered;Margaretta78@hotmail.com;2024-03-21;cutting-edge engage RSS;Berkshire Tenge holistic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-20;PENDING;false;true;false;true;false;true;true;true;false;true
